sender,from,subject,body,label
Slack,notification@slack.com,[Slack] Mensajes nuevos en el canal de desarrollo,Tienes menciones directas sin leer sobre el bug reportado en el backend de pruebas.,0
Zoom Video,no-reply@zoom.us,Enlace de invitación para la sustentación del proyecto,Se ha programado una sesión virtual para la evaluación final. ID de reunión y contraseña adjuntos.,0
Bitbucket,notifications@bitbucket.org,Cambios mezclados en la rama principal (main),Se realizó un merge exitoso sin conflictos de código en el proyecto asignado a tu grupo.,0
Jira Cloud,jira@empresa.atlassian.net,[JIRA] Incidencia reasignada: Pruebas unitarias,La tarea de validación de bugs ha pasado al estado En Desarrollo bajo tu supervisión.,0
Steam Support,noreply@steampowered.com,Confirmación de compra en la tienda de Steam,Agradecemos tu compra. Los artículos han sido agregados directamente a tu biblioteca de juegos.,0
Notion,notify@notion.so,Comentario nuevo en tu espacio de trabajo compartido,Tu compañero de equipo dejó una nota sobre la arquitectura de software propuesta en la wiki.,0
TRABAJO DESDE CASA,rrhh@money-fast.biz,Gana $500 USD diarios rellenando formularios,Sin experiencia previa. Cupos limitados para tu país. Registrate HOY con tu número de teléfono.,1
CASINO ONLINE,jackpot@bet-casino.xyz,Bono de bienvenida del 300% GRATIS,Apuesta en vivo y reclama tus giros gratis ahora mismo. Retiro inmediato sin condiciones ocultas.,1
SOPORTE CUENTA,seguridad@banc0naci0nal-seguro.xyz,URGENTE: Tu cuenta bancaria ha sido bloqueada,Detectamos accesos sospechosos. Para desbloquear tu saldo ingresa de inmediato a este link de verificación.,1
RELOJES REPLICA,sales@luxury-watches.io,Rolex Omega Cartier con 85% de descuento,Réplicas AAA suizas exactas con envío internacional gratuito. Paga de forma segura con bitcoin.,1
CryptoBot Expert,signals@crypto-pump.info,Secreto revelado: El algoritmo que predice Bitcoin,Únete a nuestro canal privado VIP. Multiplica tus inversiones un 500% en una semana. Garantizado.,1
GANA UN IPHONE,sorteos@premios-web.online,¡Tu correo fue seleccionado para el sorteo del iPhone 16!,Solo debes completar una encuesta de 3 preguntas y pagar el costo del envío. Oferta expira ya.,1
Inversión Segura,admin@forex-wealth.xyz,Duplica tus ingresos mensuales sin trabajar,Sistema automatizado de trading con inteligencia artificial. Mínimo riesgo retiros diarios.,1
Lotería Internacional,winners@lottery-grand.net,Notificación oficial de ganador de la serie mundial,Su dirección de correo electrónico ha obtenido el segundo lugar del premio mayor. Contacte al agente.,1
FARMACIA ONLINE,meds@cheap-pills.biz,Baje de peso rápido con nuestras pastillas naturales,Queme grasa mientras duerme sin hacer ejercicio ni dietas estrictas. Descuento exclusivo hoy.,1
Soporte Netflix Falso,update@netflix-billing-renew.com,Actualice su método de pago o se suspenderá el servicio,No pudimos procesar el cobro mensual de su suscripción. Ingrese sus datos bancarios para evitar cargos.,1
Inversiones Cripto,ceo@matrix-mining.io,Minería en la nube sin equipos: Retornos del 200%,Alquila potencia de cómputo y genera ingresos pasivos en Ethereum de forma vitalicia. Aproveche hoy.,1
PRESTAMOS YA,creditos@plata-facil.net,Préstamos de dinero inmediato sin revisar datacrédito,Aprobación en 5 minutos. Desembolso directo a tu cuenta de ahorros. Tasas de interés del 0%.,1
Aumenta tus Ventas,leads@marketing-boost.xyz,Base de datos de 1 millón de correos corporativos,Consigue miles de clientes potenciales enviando correos masivos. Compra la lista con 70% desc.,1
Herbal Suplementos,salud@nature-pills.info,Cura milagrosa contra la caída del cabello y calvicie,Fórmula médica secreta importada. Resultados visibles en menos de 3 días o te devolvemos el dinero.,1
SEO Express,ranking@top-seo.biz,Lleva tu página web al número 1 de Google MAÑANA,Servicio garantizado de posicionamiento web. Tráfico real y miles de visitas en tiempo récord.,1
RECLAMA TU BONO,rewards@poker-stars-bonus.io,$100 fichas gratis para jugar poker en línea,Única oportunidad para nuevos usuarios registrados. Haz clic abajo y empieza a ganar dinero real.,1
Seguridad Visa Falsa,alertas@visa-security-verify.com,Transacción retenida por seguridad de tu tarjeta de crédito,Detectamos una compra sospechosa por $2.500.000 COP. Si no la reconoce cancele el pago AQUÍ.,1
Ventas por catálogo,distribuidor@ganancias-rapidas.online,Sé tu propio jefe y gana millones vendiendo perfumes,Inicia tu negocio propio sin inversión inicial. Kit de herramientas gratis registrándote hoy.,1
Hackers Academy,blackhat@exploit-courses.net,Curso de hacking ético avanzado - 90% Descuento Especial,Aprende a vulnerar sistemas informáticos y redes inalámbricas. Herramientas premium incluidas en la descarga.,1
Inversión Inmobiliaria,sales@dubai-properties.xyz,Compra departamentos en Dubai con retorno de renta garantizado,Invierte en el mercado de mayor crecimiento global. Financiamiento directo sin intereses bancarios.,1
